Dish_ID,Dish_Name,Category,Cuisine,Serving_Size_g,Calories_kcal,Protein_g,Carbohydrates_g,Fat_g,Fiber_g,Ayurvedic_Rasa,Ayurvedic_Virya,Ayurvedic_Guna,Notes,Vata_Effect,Pitta_Effect,Kapha_Effect,Agni_Effect,Food_Guna_Category,Suitable_Conditions,Best_Season,Avoid_For
1,Classic Moong Dal Khichdi,Healing Meals,Indian,300,350,15.0,60.0,5.0,8.0,"Sweet, Astringent",Neutral,Easy,"Tridoshic, the ultimate food for detoxification and digestive reset.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
2,Vegetable Masala Khichdi,Healing Meals,Indian,350,400,16.0,65.0,9.0,11.0,"Sweet, Astringent, Pungent",Hot,Easy,Nourishing and more flavorful. Spices kindle digestive fire (agni).,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
3,Palak Khichdi (Spinach Kitchari),Healing Meals,Indian,350,380,17.0,62.0,8.0,12.0,"Sweet, Astringent, Bitter",Cold,Easy,Iron-rich and purifying. Excellent for Pitta dosha.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
4,Millet Khichdi (Foxtail/Kodo),Healing Meals,Indian,300,390,12.0,70.0,8.0,10.0,"Sweet, Astringent",Hot,Moderate,Lighter and less Kapha-aggravating than rice-based khichdi.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
5,Kanji (Simple Rice Gruel),Healing Meals,Indian,300,150,3.0,32.0,1.0,1.0,Sweet,Cold,Easy,Extremely light and hydrating. Prescribed during fever and weak digestion.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
6,Simple Moong Dal (No Tadka),Lentils (Dal),Indian,250,220,14.0,35.0,3.0,9.0,"Sweet, Astringent",Cold,Easy,Boiled moong dal is very light and pacifies Pitta. Ideal for sensitive guts.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
7,Moong Dal Tadka with Ghee & Cumin,Lentils (Dal),Indian,250,280,14.0,36.0,9.0,9.0,"Sweet, Astringent, Pungent",Neutral,Easy,Ghee and cumin make it Vata-pacifying and aid digestion.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
8,Masoor Dal Soup (Red Lentil),Lentils (Dal),Indian,250,250,15.0,38.0,4.0,10.0,"Sweet, Astringent",Hot,Easy,Warming and light. Excellent for Kapha and Vata constitutions.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
9,Toor Dal with Ginger & Turmeric,Lentils (Dal),Indian,250,300,14.0,40.0,9.0,11.0,"Sweet, Astringent, Pungent",Hot,Moderate,"Slightly heavier than moong, but ginger and turmeric make it digestible.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
10,Dal Palak (Lentils with Spinach),Lentils (Dal),Indian,280,320,18.0,42.0,9.0,13.0,"Sweet, Astringent, Bitter",Cold,Easy,Highly nutritious and cooling. Great for Pitta.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
11,Tomato Rasam (Digestive Soup),Soups,Indian,250,90,3.0,15.0,2.0,3.0,"Sour, Pungent, Sweet",Hot,Easy,Potent appetizer and digestive. Clears channels and relieves congestion.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
12,Pumpkin Soup with Ginger,Soups,Indian,250,180,4.0,25.0,7.0,5.0,"Sweet, Pungent",Hot,Easy,"Warming, grounding, and easy to digest. Good for all doshas.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
13,Lauki Sabzi (Bottle Gourd Curry),Vegetables (Sabzi),Indian,250,150,2.0,18.0,8.0,4.0,Sweet,Cold,Easy,"Extremely cooling, hydrating, and calming for Pitta.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
14,Turai Sabzi (Ridge Gourd Curry),Vegetables (Sabzi),Indian,250,160,3.0,16.0,9.0,5.0,Sweet,Cold,Easy,Light and purifies the blood. Good for Pitta and liver health.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
15,Parval Sabzi (Pointed Gourd Stir-fry),Vegetables (Sabzi),Indian,200,170,4.0,14.0,11.0,6.0,"Sweet, Bitter",Neutral,Easy,"Tridoshic vegetable, excellent for digestive health and fever.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
16,Simple Beetroot Sabzi (no coconut),Vegetables (Sabzi),Indian,200,150,4.0,20.0,6.0,5.0,Sweet,Hot,Easy,Builds blood (Rakta dhatu) and pacifies Vata.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
17,Steamed Carrot & Beans Sabzi,Vegetables (Sabzi),Indian,200,130,5.0,18.0,4.0,7.0,"Sweet, Astringent",Neutral,Easy,Lightly cooked vegetables retain Prana. Tridoshic and gentle.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
18,Methi Sabzi (Fenugreek Leaves),Vegetables (Sabzi),Indian,150,140,5.0,8.0,10.0,5.0,"Bitter, Pungent",Hot,Easy,Bitter taste purifies blood and is excellent for Kapha and diabetics.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
19,Cabbage & Pea Sabzi,Vegetables (Sabzi),Indian,200,160,6.0,18.0,7.0,6.0,"Sweet, Astringent",Cold,Moderate,Good for Pitta/Kapha. Cook with ginger/hing to avoid Vata aggravation (gas).,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
20,Simple Aloo Matar (Potato & Peas),Vegetables (Sabzi),Indian,250,250,7.0,35.0,9.0,7.0,Sweet,Hot,Moderate,Comforting and grounding for Vata. Avoid in excess for Kapha.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
21,Whole Wheat Roti (Phulka),Breads,Indian,50,140,4.5,28.0,1.0,4.0,Sweet,Hot,Moderate,"Fresh, soft rotis are grounding for Vata. Best eaten fresh.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
22,Jowar Roti (Sorghum Flatbread),Breads,Indian,60,140,4.0,30.0,1.0,3.0,"Sweet, Astringent",Cold,Moderate,"Gluten-free, cooling, and drying. Excellent for Pitta and Kapha.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
23,Bajra Roti (Pearl Millet Flatbread),Breads,Indian,60,180,6.0,34.0,3.0,4.0,"Pungent, Sweet",Hot,Difficult,Very heating and drying. Best for Kapha in peak winter.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
24,Ragi Roti (Finger Millet Flatbread),Breads,Indian,60,150,4.0,32.0,1.5,4.0,"Astringent, Sweet",Hot,Moderate,Rich in calcium and iron. Good for Kapha.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
25,Steamed Brown Rice,Grains,Indian,150,185,4.0,38.0,1.5,2.8,Sweet,Hot,Moderate,"More fiber and nutrients than white rice, but heavier to digest.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
26,Steamed Basmati Rice,Grains,Indian,150,205,4.3,44.5,0.4,0.6,Sweet,Cold,Easy,Aromatic and Sattvic. Easiest grain to digest for most people.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
27,Vegetable Pulao (Mild Spices),Grains,Indian,250,380,8.0,65.0,9.0,7.0,"Sweet, Salty",Neutral,Moderate,A balanced one-pot meal. Tridoshic if spiced mildly.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
28,Plain Oats Porridge (Savory),Breakfast,Indian,250,220,8.0,35.0,5.0,6.0,Sweet,Hot,Moderate,"Warm, grounding breakfast for Vata and Pitta. Can be heavy for Kapha.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
29,Rava Idli (Steamed Semolina Cake),Breakfast,Indian,150,240,8.0,45.0,3.0,3.0,"Sweet, Sour",Hot,Moderate,Lighter than lentil idlis. Fermentation can increase Pitta.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
30,Pesarattu (Moong Dal Dosa),Breakfast,Indian,150,280,15.0,40.0,6.0,8.0,"Astringent, Sweet",Cold,Moderate,"High-protein, cooling breakfast. Excellent for Kapha and Pitta.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
31,Vegetable Upma,Breakfast,Indian,200,340,9.0,50.0,12.0,6.0,"Sweet, Salty",Hot,Moderate,Nourishing and filling. Good for Vata.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
32,Spiced Buttermilk (Chaas/Takra),Beverages,Indian,250,50,2.5,6.0,2.0,0.0,"Astringent, Sour, Salty",Cold,Easy,The best probiotic and digestive aid in Ayurveda. Tridoshic.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
33,Turmeric Milk with Ginger & Pepper,Beverages,Indian,200,120,8.0,12.0,5.0,0.0,"Sweet, Pungent, Bitter",Hot,Easy,"Anti-inflammatory, immunity-boosting, and calming. Pacifies Vata and Kapha.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
34,CCF Tea (Cumin-Coriander-Fennel),Beverages,Indian,250,5,0.0,1.0,0.0,0.0,"Pungent, Sweet, Bitter",Neutral,Easy,"Tridoshic digestive tea. Kindles agni, cools Pitta, and reduces bloating.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
35,Ginger-Lemon-Honey Tea,Beverages,Indian,250,40,0.2,10.0,0.0,0.0,"Pungent, Sour, Sweet",Hot,Easy,"Excellent for colds, coughs, and sluggish digestion. Best for Vata and Kapha.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
36,Barley Water (Jau ka Paani),Beverages,Indian,250,80,1.0,18.0,0.2,3.0,"Sweet, Astringent",Cold,Easy,Diuretic and cooling. Reduces water retention and pacifies Pitta and Kapha.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
37,Karela Juice (Bitter Gourd),Juices,Indian,100,20,1.0,4.0,0.1,2.5,Bitter,Cold,Easy,"Extremely purifying for blood, good for skin and diabetes. Vata-aggravating.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
38,Amla Juice (Indian Gooseberry),Juices,Indian,100,50,1.0,12.0,0.1,3.0,"Sour, Sweet, Bitter, Astringent, Pungent",Cold,Easy,"Tridoshic rejuvenating tonic, rich in Vitamin C.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
39,Cucumber Raita,Condiments,Indian,120,80,4.0,6.0,4.0,1.0,"Sweet, Sour",Cold,Moderate,Cooling and pacifies Pitta. Can increase Kapha if cold.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
40,Mint Chutney,Condiments,Indian,30,30,1.0,5.0,0.5,1.0,"Pungent, Astringent",Cold,Easy,Aids digestion and is very cooling for Pitta.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
41,Koshimbir (Maharashtrian Salad),Salads,Indian,150,110,5.0,10.0,5.0,3.0,"Sour, Sweet, Salty",Cold,Moderate,Simple salad with yogurt/lemon. Raw food can be Vata-aggravating.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
42,Cooked Beetroot Salad,Salads,Indian,150,90,3.0,15.0,2.0,4.0,Sweet,Hot,Easy,Cooked salads are easier to digest. Grounding for Vata.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
43,Roasted Makhana (Fox Nuts),Snacks,Indian,30,110,4.0,22.0,1.0,4.0,"Sweet, Astringent",Cold,Easy,"Light, crunchy, and nutritious. Tridoshic, especially good for Vata.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
44,Steamed Sprouts Chaat,Snacks,Indian,150,180,12.0,30.0,2.0,8.0,"Astringent, Sweet, Sour",Neutral,Moderate,Steaming makes sprouts easier to digest than raw. Good for Kapha.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
45,Sweet Potato Chaat (Steamed),Snacks,Indian,200,200,4.0,45.0,1.0,6.0,"Sweet, Sour",Hot,Easy,"Nourishing, warming, and easy to digest. Excellent for Vata.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
46,Dhokla (Steamed Chickpea Cake),Snacks,Indian,150,250,12.0,40.0,5.0,5.0,"Sweet, Sour",Hot,Moderate,"Steamed and light, but fermented nature can increase Pitta.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
47,Sooji Halwa / Sheera (small portion),Desserts,Indian,80,220,3.5,30.0,9.0,1.0,Sweet,Hot,Difficult,A comforting sweet. Should be eaten warm and in moderation. Increases Kapha.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
48,Date and Nut Ladoo (No Sugar),Desserts,Indian,30,120,3.0,15.0,6.0,2.0,Sweet,Hot,Moderate,"Energy-boosting sweet, grounding for Vata. Healthy in moderation.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
49,Fruit Compote (Cooked Apple/Pear),Desserts,Indian,150,110,0.5,28.0,0.2,4.0,"Sweet, Sour",Hot,Easy,Cooked fruit is much easier to digest than raw. Pacifies Vata.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
50,Besan Chilla (Gram Flour Pancake),Breakfast,Indian,150,280,14.0,30.0,12.0,8.0,"Astringent, Sweet",Hot,Moderate,Protein-rich but can be drying. Good for Kapha.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
601,Panchmel Dal (Five Lentil Stew),Lentils (Dal),Indian,250,350,20.0,45.0,10.0,15.0,"Sweet, Astringent",Hot,Difficult,"Highly nutritious but heavy. Best for Vata, Kapha and Pitta in moderation.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
602,Kulthi Dal (Horse Gram Soup),Medicinal Meals,Indian,250,300,18.0,48.0,4.0,12.0,"Astringent, Pungent",Hot,Difficult,Medicinal for dissolving stones and reducing Kapha. Very heating.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
603,Sprouted Moong Sabzi,Vegetables (Sabzi),Indian,200,220,15.0,30.0,5.0,10.0,"Sweet, Astringent",Cold,Easy,Sattvic and full of Prana. Steaming makes sprouts easy to digest.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
604,Lauki Chana Dal,Main Course,Indian,250,280,14.0,35.0,9.0,11.0,"Sweet, Astringent",Cold,Moderate,Lauki's lightness balances the heaviness of chana dal.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
605,Beetroot Thoran (with Coconut),Vegetables (Sabzi),Indian,150,180,4.0,18.0,11.0,6.0,Sweet,Neutral,Moderate,"Beetroot is heating, coconut is cooling, creating a balanced, Pitta-pacifying dish.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
606,Cabbage Thoran,Vegetables (Sabzi),Indian,150,160,5.0,12.0,10.0,7.0,"Astringent, Sweet",Cold,Easy,Very light and scrapes fat. Excellent for Kapha. Vata should have with ghee.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
607,Ash Gourd Curry (Kumbalanga Olan),Vegetables (Sabzi),Indian,250,150,3.0,10.0,11.0,4.0,Sweet,Cold,Easy,"Extremely cooling and Sattvic. Calms the nerves and detoxifies, excellent for Pitta.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
608,Raw Banana Sabzi (Kacche Kele ki Sabzi),Vegetables (Sabzi),Indian,200,240,3.0,35.0,10.0,5.0,"Astringent, Sweet",Cold,Moderate,"Astringency helps bind stool, good for digestive issues. Can be drying for Vata.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
609,Drumstick and Lentil Curry (Moringa Dal),Main Course,Indian,280,310,16.0,40.0,10.0,13.0,"Pungent, Bitter, Sweet",Hot,Moderate,Drumsticks are highly purifying and rich in nutrients. Good for Kapha.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
610,Suran Sabzi (Yam Stir-fry),Vegetables (Sabzi),Indian,200,250,4.0,40.0,8.0,6.0,"Pungent, Astringent",Hot,Moderate,Specifically good for piles (Arsha) and digestive health. Must be cooked well.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
611,Tendli Sabzi (Ivy Gourd Stir-fry),Vegetables (Sabzi),Indian,200,190,4.0,15.0,13.0,5.0,"Sweet, Bitter",Cold,Easy,Balances blood sugar and is good for Kapha and Pitta.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
612,Barley Pulao with Vegetables,Grains,Indian,250,320,9.0,60.0,5.0,12.0,"Sweet, Astringent",Cold,Moderate,"Diuretic and cooling, excellent for reducing Kapha and Pitta.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
613,Amaranth Porridge (Rajgira),Breakfast,Indian,200,280,10.0,45.0,7.0,8.0,"Sweet, Astringent",Cold,Easy,"Gluten-free, light, and easy to digest. Common during fasts.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
614,Broken Wheat Upma (Dalia),Breakfast,Indian,200,300,9.0,55.0,5.0,10.0,Sweet,Hot,Moderate,"High in fiber, more grounding and nourishing than semolina upma.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
615,Set Dosa (Spongy Rice Pancake),Breakfast,Indian,150,250,6.0,50.0,2.0,3.0,"Sweet, Sour",Hot,Easy,Lighter and easier to digest than regular dosa. Still Pitta-aggravating.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
616,Kodo Millet Upma,Breakfast,Indian,200,320,8.0,60.0,6.0,9.0,"Sweet, Astringent",Hot,Moderate,Gluten-free and good for Kapha. Helps in balancing blood sugar.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
617,Lemon-Coriander Soup,Soups,Indian,250,70,3.0,10.0,2.0,2.0,"Sour, Pungent, Salty",Hot,Easy,"Light appetizer, helps in detoxifying and improves taste perception.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
618,Drumstick Soup (Moringa Clear Soup),Soups,Indian,250,80,4.0,12.0,2.0,3.0,"Pungent, Bitter",Hot,Easy,Cleansing and highly nutritious. Good for Kapha and Vata.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
619,Ajwain Water (Carom Water),Beverages,Indian,200,5,0.0,1.0,0.0,0.0,"Pungent, Bitter",Hot,Easy,"Excellent carminative. Relieves bloating, gas, and indigestion instantly.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
620,Jeera Water (Cumin Water),Beverages,Indian,200,5,0.0,1.0,0.0,0.0,"Pungent, Bitter",Cold,Easy,"Cools the body, aids digestion, and is a gentle detoxifier. Good for Pitta.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
621,Dry Ginger Coffee (Chukku Kaapi),Beverages,Indian,150,30,0.5,7.0,0.0,0.0,"Pungent, Sweet",Hot,Easy,"South Indian remedy for colds, coughs, and indigestion. Pacifies Kapha.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
622,Sol Kadhi,Beverages,Indian,200,130,2.0,8.0,10.0,1.0,"Sour, Pungent, Astringent",Cold,Easy,Digestive and cooling. Made from kokum and coconut milk. Pacifies Pitta.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
623,Khamang Kakdi (Cucumber Salad),Salads,Indian,150,140,5.0,12.0,8.0,3.0,"Sweet, Sour, Salty",Cold,Moderate,Refreshing Maharashtrian salad. Crushed peanuts add Vata-pacifying oiliness.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
624,Steamed Muthia (Gram flour dumplings),Snacks,Indian,150,220,10.0,35.0,5.0,7.0,"Sweet, Salty, Pungent",Hot,Moderate,"Steamed version is a healthy, high-fiber snack. Good for Kapha.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
625,Pumpkin Raita,Condiments,Indian,120,90,4.0,10.0,4.0,2.0,"Sweet, Sour",Cold,Easy,Cooked pumpkin makes this raita grounding and easy to digest. Pitta pacifying.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
626,Flaxseed Chutney Powder (Jawas Chutney),Condiments,Indian,15,70,3.0,4.0,5.0,3.0,"Sweet, Pungent",Hot,Moderate,Rich in Omega-3. Warming and pacifies Vata and Kapha. Eat in moderation.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
627,Curry Leaf Powder (Karuveppilai Podi),Condiments,Indian,15,60,2.0,8.0,2.0,3.0,"Pungent, Bitter",Hot,Easy,"Aids digestion, good for hair health, and balances Kapha and Vata.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
628,Rice and Moong Dal Porridge (Arisi Kanji),Healing Meals,Indian,300,280,10.0,55.0,2.0,4.0,Sweet,Cold,Easy,"South Indian version of Kanji, often given during illness for energy.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
629,Buttermilk Curry (Moru Kuzhambu),Main Course,Indian,250,180,6.0,15.0,10.0,2.0,"Sour, Pungent, Astringent",Cold,Easy,"Probiotic-rich, light curry that aids digestion. Good for Pitta.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
630,Pithla (Gram flour curry),Main Course,Indian,200,250,12.0,25.0,12.0,7.0,"Salty, Pungent",Hot,Moderate,"Simple, rustic Maharashtrian curry. Warming and can be drying for Vata.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
631,Kootu (Lentil and Vegetable Stew),Main Course,Indian,280,290,14.0,30.0,12.0,11.0,"Sweet, Astringent",Neutral,Easy,"South Indian stew, easier to digest than sambar. Tridoshic.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
632,Avial (Mixed Veggies in Coconut),Main Course,Indian,250,280,7.0,20.0,20.0,8.0,"Sweet, Sour, Astringent",Cold,Difficult,Nourishing but heavy due to coconut and curd. Good for Vata and Pitta.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
633,Ghiya Kofta (Bottle Gourd Dumplings in Curry),Main Course,Indian,300,320,10.0,35.0,15.0,8.0,"Sweet, Salty",Cold,Moderate,"Healthier than fried koftas, as they are often steamed or shallow-fried.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
634,Shatavari Milk,Beverages,Indian,200,140,8.0,14.0,6.0,0.0,"Sweet, Bitter",Cold,Easy,Excellent female reproductive tonic. Calming and Pitta pacifying.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
635,Ashwagandha Milk,Beverages,Indian,200,140,8.0,14.0,6.0,0.0,"Astringent, Bitter, Sweet",Hot,Easy,Builds strength and immunity (Ojas). Calms Vata and promotes sleep.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
636,Triphala Water (Detox Drink),Medicinal Meals,Indian,150,10,0.0,2.0,0.0,1.0,All 5 tastes (No Salty),Neutral,Easy,"Tridoshic detoxifier, excellent for constipation and eye health.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
637,Methi Dana Sabzi (Fenugreek Seed Curry),Medicinal Meals,Indian,150,200,8.0,20.0,10.0,9.0,"Bitter, Pungent",Hot,Moderate,Medicinal curry for joint pain and diabetes. Vata and Kapha pacifying.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
638,Mooli Paratha (Radish Flatbread),Breads,Indian,120,260,7.0,35.0,10.0,7.0,"Pungent, Sweet",Hot,Difficult,Good for Kapha as it's drying and heating. Can aggravate Pitta.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
639,Tomato Gojju (Sweet & Sour Curry),Main Course,Indian,150,180,3.0,20.0,10.0,4.0,"Sour, Sweet, Pungent",Hot,Moderate,"Karnataka-style curry. Balances Vata, but can increase Pitta.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
640,Neer Dosa (Watery Rice Crepe),Breakfast,Indian,120,200,4.0,45.0,0.5,2.0,Sweet,Cold,Easy,Extremely light and soft crepe from Karnataka. Good for Pitta.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
641,Handvo (Savory Lentil Cake - Baked),Snacks,Indian,150,300,14.0,40.0,9.0,11.0,"Pungent, Sour, Sweet",Hot,Difficult,"Baked version is healthier than pan-fried. Fermented, so can increase Pitta.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
642,Pathrode (Colocasia Leaf Rolls),Snacks,Indian,150,250,8.0,30.0,11.0,7.0,"Pungent, Sweet, Sour",Hot,Moderate,"Steamed snack, good for digestion when prepared correctly.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
643,Til Ladoo (Sesame Jaggery Balls),Desserts,Indian,30,150,4.0,15.0,9.0,3.0,"Sweet, Pungent, Bitter",Hot,Difficult,Warming and iron-rich. Excellent for Vata and Kapha in winter.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
644,Singhara Atta Roti (Water Chestnut Roti),Breads,Indian,60,160,3.0,35.0,1.0,2.0,"Sweet, Astringent",Cold,Easy,Cooling and gluten-free. Commonly eaten during fasts.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
645,Gond ke Ladoo (Edible Gum Sweet),Medicinal Meals,Indian,40,200,4.0,20.0,12.0,2.0,Sweet,Hot,Difficult,Strengthening for bones and postpartum recovery. Very heating and heavy.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
646,Harira (Nut & Seed Porridge),Medicinal Meals,Indian,150,250,8.0,25.0,14.0,5.0,"Sweet, Pungent",Hot,Difficult,Warming and strengthening drink for new mothers and winter.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
647,Makki di Roti (Maize Flatbread),Breads,Indian,70,220,6.0,40.0,4.0,6.0,Sweet,Hot,Difficult,"Heavy and drying. A winter staple, best eaten with ghee/butter.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
648,Sarson ka Saag (Mustard Greens Curry),Main Course,Indian,250,280,10.0,20.0,18.0,10.0,"Pungent, Bitter",Hot,Difficult,Heating and requires a strong digestion. Pacifies Vata and Kapha.,Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
649,Brahmi Sharbat (Memory Boosting Drink),Beverages,Indian,200,80,1.0,20.0,0.0,0.0,"Bitter, Astringent",Cold,Easy,"Brahmi is a nervine tonic, cools the mind, and enhances memory. Tridoshic.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
650,Rose Sharbat (Gulkand Drink),Beverages,Indian,200,100,0.5,25.0,0.0,0.0,"Sweet, Astringent, Bitter",Cold,Easy,"Excellent for cooling Pitta, reducing acidity, and calming the heart.",Neutral,Neutral,Neutral,Balanced,Sattvic,General,All,None
